#{"t_start": 1764490025.1546538, "env_id": "None"}
r,l,t
219.100766,500,703.047436
223.945938,500,711.574765
216.502937,500,719.934972
222.920242,500,728.825595
207.685968,440,736.727691
212.58,500,745.455199
216.057668,500,754.121708
225.344551,500,762.611547
221.3744,500,771.296633
217.635338,500,779.930498
219.921786,500,788.802218
220.3422,500,797.48816
220.101615,500,806.266375
222.672754,500,815.203251
225.875602,500,823.948168
228.534946,500,832.601593
226.2006,500,841.162947
214.823804,500,849.567324
172.165674,348,855.503295
229.943017,500,863.77626
228.002244,500,872.717557
214.53005,500,881.408787
218.061886,500,889.804228
229.399423,500,898.567305
216.314036,500,908.543569
214.927964,500,917.425278
114.745077,232,921.598157
224.445716,500,930.048428
228.988008,500,938.759242
229.102045,500,947.375869
226.156165,500,956.210478
233.116644,498,964.835569
160.332249,336,970.919151
224.605276,500,979.618783
203.780482,436,987.193623
220.112951,500,995.805967
213.870624,500,1004.417837
217.85079,500,1012.970854
227.056708,500,1021.520047
228.076745,500,1030.047988
218.456472,500,1039.103154
223.522983,500,1047.744676
228.281113,500,1056.401901
220.052008,500,1065.839748
219.113169,500,1075.172692
97.67422,218,1079.50491
224.328745,500,1088.775671
227.297861,500,1097.652601
229.934291,500,1106.698846
220.789313,500,1115.390891
227.928365,500,1123.865962
215.567524,500,1132.34396
224.871528,500,1141.074007
215.350534,500,1149.614626
223.128812,500,1158.052244
222.848138,500,1166.669891
219.983893,500,1175.578093
226.891291,500,1184.212952
226.166601,500,1192.640121
228.271732,500,1200.981247
221.746254,500,1209.310902
189.860212,439,1217.548714
227.08465,500,1226.533193
226.472167,500,1236.503953
221.787354,500,1245.40746
218.725258,500,1254.163723
160.291577,354,1260.613209
225.21155,500,1269.532842
221.488583,500,1278.508943
229.559128,500,1287.922756
227.956728,500,1296.551081
228.285884,500,1304.502965
220.598803,500,1313.098543
220.918823,500,1322.764167
218.489012,459,1330.89121
223.865005,500,1339.619867
222.446,500,1348.432626
